Customer ID,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Segment,Segment_Label
12346,326,12,77556.46,5.7899601708972535,2.5649493574615367,11.258774359980725,1,Big Spenders
12347,2,8,5633.32,1.0986122886681098,2.1972245773362196,8.63663174483544,3,Loyal Customers
12348,75,5,2019.3999999999999,4.330733340286331,1.791759469228055,7.6110507905938976,1,Big Spenders
12349,19,4,4428.6900000000005,2.995732273553991,1.6094379124341003,8.396084883164011,3,Loyal Customers
12350,310,1,334.40000000000003,5.739792912179234,0.6931471805599453,5.815323849389109,2,Lost/Churned
12351,375,1,300.93,5.929589143389895,0.6931471805599453,5.710195202428391,2,Lost/Churned
12352,36,10,2849.84,3.6109179126442243,2.3978952727983707,7.9553689666784315,1,Big Spenders
12353,204,2,406.76,5.3230099791384085,1.0986122886681098,6.010678766031786,2,Lost/Churned
12354,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461,4,At Risk
12355,214,2,947.61,5.3706380281276624,1.0986122886681098,6.854997755239065,4,At Risk
12356,23,6,6373.68,3.1780538303479458,1.9459101490553132,8.76008917268833,1,Big Spenders
12357,33,3,18287.66,3.5263605246161616,1.3862943611198906,9.814036474622236,1,Big Spenders
12358,2,5,3887.07,1.0986122886681098,1.791759469228055,8.265668169533484,3,Loyal Customers
12359,58,10,8935.94,4.07753744390572,2.3978952727983707,9.097948527696552,1,Big Spenders
12360,52,8,4252.89,3.970291913552122,2.1972245773362196,8.355589137409874,1,Big Spenders
12361,287,4,511.25,5.662960480135946,1.6094379124341003,6.238812787119009,4,At Risk
12362,3,11,5356.2300000000005,1.3862943611198906,2.4849066497880004,8.586202329437555,3,Loyal Customers
12363,110,2,552.0,4.709530201312334,1.0986122886681098,6.315358001522335,0,New/Occasional
12364,8,4,1313.1,2.1972245773362196,1.6094379124341003,7.180907299649593,3,Loyal Customers
12365,291,2,641.38,5.676753802268282,1.0986122886681098,6.465180028897591,4,At Risk
12366,634,1,500.24,6.453624998892692,0.6931471805599453,6.217085028297085,2,Lost/Churned
12367,4,1,168.9,1.6094379124341003,0.6931471805599453,5.135210028677887,0,New/Occasional
12368,628,1,917.7,6.444131256700441,0.6931471805599453,6.822959627277421,4,At Risk
12369,413,3,1791.15,6.025865973825314,1.3862943611198906,7.491171295388921,4,At Risk
12370,51,7,4320.31,3.9512437185814275,2.0794415416798357,8.371313876010715,1,Big Spenders
12371,45,5,4067.38,3.828641396489095,1.791759469228055,8.31100016480189,1,Big Spenders
12372,72,3,1298.04,4.290459441148391,1.3862943611198906,7.169380809114136,4,At Risk
12373,311,3,1127.65,5.7430031878094825,1.3862943611198906,7.028777507229587,4,At Risk
12374,25,4,2989.2200000000003,3.258096538021482,1.6094379124341003,8.003102242273277,3,Loyal Customers
12375,11,2,457.5,2.4849066497880004,1.0986122886681098,6.127960291696519,0,New/Occasional
12376,390,2,503.15,5.968707559985366,1.0986122886681098,6.222873842839224,4,At Risk
12377,315,4,3426.32,5.755742213586912,1.6094379124341003,8.139533893646055,4,At Risk
12378,130,2,5416.32,4.875197323201151,1.0986122886681098,8.597356507200939,4,At Risk
12379,82,4,1620.22,4.418840607796598,1.6094379124341003,7.390934231218893,4,At Risk
12380,22,11,9676.300000000001,3.1354942159291497,2.4849066497880004,9.177538215743802,1,Big Spenders
12381,5,5,1845.31,1.791759469228055,1.791759469228055,7.520944331624911,3,Loyal Customers
12383,185,5,1850.56,5.225746673713202,1.791759469228055,7.523783805985769,4,At Risk
12384,29,2,585.27,3.4011973816621555,1.0986122886681098,6.373780434317173,0,New/Occasional
12385,379,1,1938.4,5.940171252720432,0.6931471805599453,7.570133925870446,4,At Risk
12386,338,2,660.8000000000001,5.82600010738045,1.0986122886681098,6.4949633954875114,4,At Risk
12387,415,1,143.94,6.030685260261263,0.6931471805599453,4.976319863681136,2,Lost/Churned
12388,16,8,3901.11,2.833213344056216,2.1972245773362196,8.269272711457157,3,Loyal Customers
12389,403,3,1433.33,6.0014148779611505,1.3862943611198906,7.268453120207762,4,At Risk
12390,80,1,549.84,4.394449154672439,0.6931471805599453,6.311444385858925,0,New/Occasional
12391,22,6,2773.42,3.1354942159291497,1.9459101490553132,7.928196995326099,3,Loyal Customers
12392,591,1,234.75000000000003,6.3835066348840055,0.6931471805599453,5.462771921513567,2,Lost/Churned
12393,72,6,2399.45,4.290459441148391,1.9459101490553132,7.783411498760109,1,Big Spenders
12394,64,2,1272.48,4.174387269895637,1.0986122886681098,7.149508589545504,0,New/Occasional
12395,19,15,5067.27,2.995732273553991,2.772588722239781,8.53075481547577,1,Big Spenders
12396,674,1,931.4300000000001,6.51471269087253,0.6931471805599453,6.837794081676172,4,At Risk
12397,36,2,2409.9,3.6109179126442243,1.0986122886681098,7.7877554007552545,0,New/Occasional
12398,46,1,1635.6599999999999,3.8501476017100584,0.6931471805599453,7.4004128587924045,0,New/Occasional
12399,119,7,1962.3,4.787491742782046,2.0794415416798357,7.582382009904704,1,Big Spenders
12400,414,1,205.25,6.028278520230698,0.6931471805599453,5.32908902521479,2,Lost/Churned
12401,303,1,84.3,5.717027701406222,0.6931471805599453,4.446174454497633,2,Lost/Churned
12402,323,6,1256.9,5.780743515792329,1.9459101490553132,7.137198942844827,4,At Risk
12403,50,2,1019.36,3.9318256327243257,1.0986122886681098,6.927910785185701,0,New/Occasional
12404,682,1,63.24,6.52649485957079,0.6931471805599453,4.162626069638506,2,Lost/Churned
12405,149,1,1710.39,5.0106352940962555,0.6931471805599453,7.445061184797548,4,At Risk
12406,22,5,6390.36,3.1354942159291497,1.791759469228055,8.762702357276806,1,Big Spenders
12407,50,5,1708.12,3.9318256327243257,1.791759469228055,7.4437338971514055,1,Big Spenders
12408,33,8,4340.77,3.5263605246161616,2.1972245773362196,8.37603737805411,1,Big Spenders
12409,79,7,23419.29,4.382026634673881,2.0794415416798357,10.061358019654037,1,Big Spenders
12410,309,3,1013.71,5.736572297479192,1.3862943611198906,6.9223581363660704,4,At Risk
12411,410,1,346.9,6.018593214496234,0.6931471805599453,5.8519150821578965,2,Lost/Churned
12412,75,6,2596.93,4.330733340286331,1.9459101490553132,7.862470253064629,1,Big Spenders
12413,67,4,999.45,4.219507705176107,1.6094379124341003,6.908205177762502,4,At Risk
12414,217,6,952.4100000000001,5.384495062789089,1.9459101490553132,6.860045031492727,4,At Risk
12415,24,28,144458.37,3.2188758248682006,3.367295829986474,11.88075357052652,5,Champions
12416,657,1,202.56,6.489204931325317,0.6931471805599453,5.315960801720632,2,Lost/Churned
12417,3,20,6816.91,1.3862943611198906,3.044522437723423,8.827308252258714,5,Champions
12418,113,4,2021.2,4.736198448394496,1.6094379124341003,7.6119413066572985,4,At Risk
